Individual_MSB:Fish_Catalog_Number,Fish_Species,Date_Fish_Collected,Location_Control_or_Impact,Fish_Barcode,Dissector,Dissection_Date,Total_Length(mm),Standard_Length(mm),Weight(mg),Examiner,Sex,Gut_Contents,Notes,SKIN,MUSCLE,BUCCAL_CAVITY,BODY_CAVITY,PECTORALFIN,PELVICFIN,COPE.IMLER.ANALFIN,MONO.GYRO.ANALFIN,CAUDALFIN,DORSALFIN,GONAD,TREM.DIPLO.LIVER,KIDNEY,EYE,HEART,STOMACH,TREM.D.CONN,TREM.DIPLO.CONNECTIVETISSUE,TREM.B.CONNECTIVETISSUE,TREM.GOLD.CONNECTIVE_TISSUE,NEMA.UNK.INT,MONO.GYRO.GILL,GALL_BLADDER,TREM.DLUM.FLUSH,TREM.META.UNK.FLUSH,TREM.D.FLUSH,MSB:Fish_catalog_number,Fish_Species,Fish_Barcode,P1_Species,P1_Number_of_individuals,P1_collector,P1_identifier,P1_Life_Stage,P1_Organ_Found,P1_preservation,P1_barcode,P1_label:SMB_FISH_CATALOG_NUMBER,P1_label:PARASITE_CODE,P2_Species,P2_Number_of_individuals,P2_collector,P2_identifier,P2_Life_Stage,P2_Organ,P2_preservation,P2_barcode,P2_label:SMB_FISH_CATALOG_NUMBER,P2_label:PARASITE_CODE,P3_Species,P3_Number_of_individuals,P3_collector,P3_identifier,P3_Life_Stage,P3_Organ,P3_How_preserved,P3_barcode,P3_Label:fishID,P3_label:Parasites_Code,Parasite Species 4,Number of individuals 4,parasite collector 4,parasite identifier 4,Life Stage 4,Organ 4,How preserved 4,barcode 4,Parasite label 4,Parasite label  4
MSB 5814-1,Hybognathus amarus,"September 10, 1987",,JAR8631F,KL,06/16/2025,66,52,2223,KL,NA,NA,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MSB 5814-2,Hybognathus amarus,"September 10, 1987",,JAR8634F,JG,06/17/2025,55,47,1856,CW,NA,Dirt,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MSB 5814-3,Hybognathus amarus,"September 10, 1987",,JAR8630F,EO,06/18/2025,67,52,2759,CLW+CW,NA,NA,,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,1,0,0,NA,0,0,0,MSB 5814-3,Hybognathus amarus,JAR8630F,Unknown Metacercariae-1,1,CLW+CW,CLW+CW,Metacercariae,Connective Tissue,70% etoh,MSBP6JXV,MSB 5814-3,TREM.GOLD.CONNECTIVETISSUES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MSB 5814-5,Hybognathus amarus,"September 10, 1987",,JAR8636F,JG,06/19/2025,85,68,5700,KL,NA,NA,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MSB 19537-3,Hybognathus amarus,"September 16, 1994",,JAR8635F,EO,06/20/2025,59,46,1370,CLW,NA,NA,white crystals in muscle tissue,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,NA,0,0,0,0,0,0,0,NA,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MSB 25010-2,Hybognathus amarus,"August 02, 1995",,JAR8650F,JG,06/16/2025,37,30,475,KL,NA,NA,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,NA,0,0,0,MSB 25010-2,Hybognathus amarus,JAR8650F,Unknown Metacercariae-2,1,KL,KL,Metacercariae,Connective Tissue,70% etoh,MSBP6JXU,MSB 25010-2,TREM.B.CONNECTIVETISSUES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MSB 19537-2,Hybognathus amarus,"September 16, 1994",,JAR8664F,EO,06/16/2025,58,46,1650,CW,NA,Dirt,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,MSB 19537-2,Hybognathus amarus,JAR8664F,Diplostomatidae,1,CW,CW,Metacercariae,Connective Tissue,70% etoh,MSBP6JXT,MSB19537-2,TREM.DIPLO.CONNECTIVETISSUES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MSB 5814-4,Hybognathus amarus,"September 10, 1987",,JAR8633F,EO,06/16/2025,52,41,1282,KL,NA,NA,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,NA,0,0,0,MSB 5814-4,Hybognathus amarus,JAR8633F,Diplostomatidae,2,KL,KL,Metacercariae,Connective Tissue,70% etoh,MSBP6JXW,MSB 5814-4,TREM.DIPLO.CONNECTIVETISSUES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MSB 5825-5,Hybognathus amarus,"September 10, 1987",,JAR8639F,BP,06/18/2025,52,42,1542,CW,NA,Dirt,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,MSB 5825-5,Hybognathus amarus,JAR8639F,Diplostomatidae,2,CJW,CJW,Metacercariae,Connective Tissue,70% etoh,MSBP6JXQ,MSB 5825-5,TREM.DIPLO.CONNECTIVETISSUES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MSB 25010-3,Hybognathus amarus,"August 2, 1995",,JAR8649F,EO,06/16/2025,39,31,531,KL,NA,NA,,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,1,MSB 25010-3,Hybognathus amarus,JAR8694F,Trematode species unknown 3,1,KL,KL,na,Flush,70% etoh,MSBP6JW8,MSB 25010-3,TREM.D.FLUSH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
