CatalogNumber,Individual_ID,Fish_Species,year_fish_collected,month_fish_collected,day_fish_collected,Fish_Barcode,Dissector,Dissection_Date,Completion_Date,Total_Length_mm,Standard_Length_mm,Weight_mg,Examiner,Sex,Gut_Contents,Notes,TREM.META.SKIN,CRUS.LERCYP.SKIN,CRUS.LERCYP.PELVICFIN,TREM.META.MUSCLE,TREM.DIPHUR.MUSCLE,BUCCAL_CAVITY,TREM.N.BODY_CAVITY,MONO.UNKN.PECTORALFIN,MONO.GYRSP.PELVICFIN,ANALFIN,CAUDALFIN,CRUS.FIN.DORSALFIN,MONO.GYRSP.DORSALFIN,GONAD,TREM.DIPHUR.LIVER,TREM.WHITE.LIVER,TREM.P.KIDNEY,TREM.NEASP.EYE,HEART,STOMACH,TREM.DIPHUR.CONNECTIVE_TISSUE,TREM.UNK.CONNECTIVETISSUE,TREM.P.CONNECTIVE_TISSUE,TREM.WHITE.CONN,TREM.ACET.CONNECTIVETISSUE,CEST.LARV.CONNECTIVE_TISSUE,TREM.UNCLEAR.CONN,TREM.CENT.INTESTINE,TREM.DIPHUR.INTESTINE,NEM.CAP.INTESTINE,NEM.CONT.INTESTINE,CEST.B.INTESTINE,TREM.BUC.INTESTINE,NEM.UNK.INTESTINE,NEM.LARV.INTESTINE,MYXO.MYXSP.GILL(NUMBER_OF_CLUSTERS),MYXO.M.GILL,MONO.DACSP.GILL,MONO.GYRSP.GILL,NEM.LARV.GALL BLADDER,UNK.GALL BLADDER,TREM.CENT.FLUSH,TREM.DIPHUR.FLUSH,TREM.P.FLUSH,TREM.UNK.FLUSH,Notes about missing parasites,MSB:Fish_catalog_number,Fish_Species,Fish_Barcode,P1_Species,P1_Number_of_individuals,P1_collector,P1_identifier,P1_Life_Stage,P1_Organ_Found,P1_preservation,P1_barcode,P1_Box_Number,P1_label:SMB_FISH_CATALOG_NUMBER,P1_label:PARASITE_CODE,P1_Notes,P2_Species,P2_Number_of_individuals,P2_collector,P2_identifier,P2_Life_Stage,P2_Organ,P2_preservation,P2_barcode,P2_Box_Number,P2_label:SMB_FISH_CATALOG_NUMBER,P2_label:PARASITE_CODE,P2_Notes,P3_Species,P3_Number_of_individuals,P3_collector,P3_identifier,P3_Life_Stage,P3_Organ,P3_How_preserved,P3_barcode,P3_Box_Number,P3_Label:fishID,P3_label:Parasites_Code,P3_Notes,Parasite Species 4,Number of individuals 4,parasite collector 4,parasite identifier 4,Life Stage 4,Organ 4,How preserved 4,barcode 4,P4 Box number,Parasite label 4,Parasite label  4,P4 Notes,Parasite Species 5,Number of individuals 5,parasite collector 5,parasite identifier 5,Life Stage 5,Organ 5,How preserved 5,barcode 5,P5 Box number,Parasite label 5 fish ID,Parasite label  5,P5 Notes,Parasite Species 6,Number of individuals 6,parasite collector 6,parasite identifier 6,Life Stage 6,Organ 6,How preserved 6,barcode 6,P6 Box number,Parasite label 6 fish ID,Parasite label  6,P6 Notes,Parasite Species 7,Number of individuals 7,parasite collector 7,parasite identifier 7,Life Stage 7,Organ 7,How preserved 7,barcode 7,P7 Box number,Parasite label 7 fish ID,Parasite label  7,P7 Notes
MSB:Fish:124148,MSB 124148-1,Pimephales promelas,2021,11,11,JAR9702F,KL,04/08/2025,,51,42,1338,CK KL,M,NA,,,0,,,,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,1,,,,,,,0,,,,,,,0,0,,0,0,,,0,,,,,MSB 124148-1,Pimephales promelas,JAR9702F,Diplostomulum huronense,1,CK,KL,Metacercariae,Connective tissues,70% etoh,P6K8Q,,MSB 124148-1,TREM.DIPHUR.CONNECTIVETISSUES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MSB:Fish:124159,MSB 124159-2,Pimephales promelas,2022,10,5,JAR9701F,KL WM,03/27/2025,,55,44,1640,KL,F,NA,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MSB:Fish:124158,MSB 124159-1,Pimephales promelas,2022,10,5,JAR9700F,KL,03/27/2025,,47,36,1175,BP KL,F,NA,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MSB:Fish:124157,MSB 124157-1,Pimephales promelas,2022,10,5,JAR9708F,SV,04/14/2025,,29,25,374,KL,NA,Arthropod,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,NA,NA,0,0,0,0,,MSB 124157-1,Pimephales promelas,JAR9708F,Dactylogyrus sp,1,SV,KL,Adult,Gill,70% etoh,P6K8T,,MSB 124157-1,MONO.DACSP.GILL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MSB:Fish:124157,MSB 124157-2,Pimephales promelas,2022,10,5,JAR9707F,WM,04/14/2025,,36,30,667.4,WM KL,NA,NA,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MSB:Fish:124157,MSB 124157-4,Pimephales promelas,2022,10,5,JAR9710F,SV,04/14/2025,,36,30,752,SV KL,NA,NA,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MSB:Fish:124153,MSB 124153-1,Pimephales promelas,2025,6,3,JAR9705F,DW,04/08/2025,,37,31,739,BP KL,NA,Arthropod,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,NA,NA,0,0,0,0,,MSB 124153-1,Pimephales promelas,JAR9705F,Diplostomulum huronense,4,DW,BP KL,Metacercariae,Connective tissues,70% etoh,P6K8R,,MSB 124153-1,TREM.DIPHUR.CONNECTIVETISSUES,,Dactylogyrus sp.,6,DW,BP KL,Adult,Gill,70% etoh,P6K8S,,MSB 124153-1,MONO.DACSP.GILL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MSB:Fish:124139,MSB 124139-1,Pimephales promelas,2021,10,7,JAR9771F,CMK,05/07/2025,,54,47,1639,KL,F,NA,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,NA,NA,0,0,0,0,,MSB 124139-1,Pimephales promelas,JAR9771F,Dactylogyrus sp,1,KL,KL,NA,Gill,70% etoh,P6K9B,,MSB 124139-1,MONO.DACSP.GILL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MSB:Fish:124139,MSB 124139-2,Pimephales promelas,2021,10,7,JAR9770F,CMK,05/07/2025,,53,44,1482,KL,NA,NA,,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,NA,NA,0,0,0,0,,MSB 124139-2,Pimephales promelas,JAR9770F,Unknown Crustacean-1,1,KL,KL,NA,Dorsal fin,70% etoh,P9K9C,,MSB 124139-2,CRUS.FIN.DORSALFIN,,Gyrodactylus sp.,1,KL,KL,N/A,Gill,70% etoh,P6K9D,,MSB 124139-2,MONO.GYRSP.GILL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MSB:Fish:124139,MSB 124139-3,Pimephales promelas,2025,20,7,JAR9768F,CMK,05/07/2025,,58,48,2264,KL,M,Arthropod,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,0,0,0,0,,MSB 124139-3,Pimephales promelas,JAR9768F,Neascus sp,1,KL,KL,NA,Eye,70% etoh,P6K9E,,MSB 124139-3,TREM.NEASP.EYE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MSB:Fish:124161,MSB 124161-1,Pimephales promelas,2022,11,10,JAR9769F,CMK,05/07/2025,,42,39.5,832,KL,F,NA,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MSB:Fish:124152,MSB 124152-1,Pimephales promelas,2022,6,3,JAR9762F,CM ,05/07/2025,,59,50,1214,KL,NA,Arthropod,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,0,0,0,0,,MSB 124152-1,Pimephales promelas,JAR9762F,Diplostomulum huronense,3,KL,KL,Metacercariae,Connective tissues,70% etoh,P6K9A,,MSB 124152-1,TREM.DIPHUR.CONNECTIVETISSUES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MSB:Fish:124152,MSB 124152-2,Pimephales promelas,2022,6,3,JAR9765F,KL,05/07/2025,,70,57,4491,KL,M,Arthropod,,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,NA,NA,0,0,0,0,,MSB 124152-2,Pimephales promelas,JAR9765F,Lernaea cyprinacea,1,KL,KL,Adult,Skin,70% etoh,P6K95,,MSB 124152-2,CRUS.LERCYP.SKIN,,Myxobolus sp.,1,KL,KL,N/A,Gill,70% etoh,P6K96,,MSB 124152-2,PROT.MYXSP.SKIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MSB:Fish:124155,MSB 124155-3,Pimephales promelas,2022,10,5,JAR9780F,KL,05/05/2025,,49,38,1296.5,KL,NA,NA,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,NA,NA,0,0,0,0,,MSB 124155-3,Pimephales promelas,JAR9780F,Myxobolus sp.,1,KL,KL,NA,Gill,70% etoh,P6K98,,MSB 124155-3,PROT.MYXSP.GILL,,Dactylogyrus sp,1,KL,KL,N/A,Gill,70% etoh,P6K99,,MSB 124155-3,MONO.DACSP.GILL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MSB:Fish:124155,MSB 124155-2,Pimephales promelas,2022,10,5,JAR9779F,KL,05/05/2025,,46,38,1213.3,KL,F,NA,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MSB:Fish:124141,MSB 124141-3,Pimephales promelas,2021,10,7,JAR9778F,KL,05/05/2025,,53,43,1625,KL,NA,Arthropod,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MSB:Fish:124144,MSB 124144-4,Pimephales promelas,2021,11,11,JAR9782F,KL,05/05/2025,,68,55,NA,KL,NA,NA,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,NA,NA,0,0,0,0,,MSB 124144-4,Pimephales promelas,JAR9782F,Diplostomulum huronense,1,KL,KL,Metacercariae,Connective tissues,70% etoh,P6K90,,MSB 124144-4,TREM.DIPHUR.CONNECTIVETISSUES,,Dactylogyrus sp,1,KL,KL,N/A,Gill,70% etoh,P6K91,,MSB 124144-4,MONO.DACSP.GILL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MSB:Fish:124144,MSB 124144-5,Pimephales promelas,2021,11,11,JAR9783F,KL,05/05/2025,,56,44,1724.1,KL,F,NA,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MSB:Fish:124144,MSB 124144-6,Pimephales promelas,2021,11,11,JAR9760F,KL,05/05/2025,,50,39,1024.4,KL,NA,NA,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,NA,NA,0,0,0,0,,MSB 124144-6,Pimephales promelas,JAR9760F,Dactylogyrus sp,1,KL,KL,NA,Gill,70% etoh,P6K8Z,,MSB 124144-6,MONO.DACSP.GILL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MSB:Fish:124144,MSB 124144-7,Pimephales promelas,2021,11,11,JAR9761F,KL,05/05/2025,,59,49,1939.3,KL,F,NA,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,NA,NA,0,0,0,0,,MSB 124144-7,Pimephales promelas,JAR9761F,Dactylogyrus sp,1,KL,KL,Adult,Gill,70% etoh,PGK8Y,,MSB 124144-7,MONO.DACSP.GILL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MSB:Fish:124141,MSB 124141-2,Pimephales promelas,2021,10,7,JAR9773F,BP,04/28/2025,,52,45,1805,CMK KL,F,"Arthropod, Vegetation ",,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,0,0,0,0,,MSB 124141-2,Pimephales promelas,JAR9773F,Neascus sp,2,CMK KL,KL,Metacercariae,Eye,70% etoh,P6K8X,,MSB 124141-2,TREM.NEASP.EYE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MSB:Fish:124157,MSB 124157-7,Pimephales promelas,2025,10,5,JAR9703F,SV,04/14/2025,,47,38,1243,BP KL,F,NA,,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,NA,NA,0,0,0,0,,MSB 124157-7,Pimephales promelas,JAR9703F,Dactylogyrus sp,1,BP,KL,Adult,Gill,70% etoh,P6K8U,,MSB 124157-7,MONO.DACSP.GILL,,Gyrodactylus sp,1,KL,KL,Adult,Dorsal fin,70% etoh,P6K8V,,MSB 124157-7,MONO.GYRSP.FIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MSB:Fish:124157,MSB 124157-6,Pimephales promelas,2022,10,5,JAR9704F,WM,04/14/2025,,43,34,725,WM KL,NA,NA,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MSB:Fish:124157,MSB 124157-3,Pimephales promelas,2022,10,5,JAR9709F,SV,04/14/2025,,60,49,1971,KL,M,NA,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MSB:Fish:124157,MSB 124157-5,Pimephales promelas,2022,10,5,JAR9706F,WM,04/14/2025,,46,37,1237.4,N/A,F,NA,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MSB:Fish:124144,MSB 124144-1,Pimephales promelas,2021,11,11,JAR9774F,WM,04/28/2025,,58,48,2093.6,KL,F,"Arthropod, Vegetation ",,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,NA,NA,0,0,0,0,,MSB 124144-1,Pimephales promelas,JAR9774F,Dactylogyrus sp,1,KL,KL,Adult,Gill,70% etoh,P6K8W,,MSB 124144-1,MONO.DACSP.GILL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MSB:Fish:124144,MSB 124144-2,Pimephales promelas,2021,11,11,JAR9777F,WM,04/28/2025,,54,47,1571.8,CMK,NA,NA,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MSB:Fish:124144,MSB 124144-3,Pimephales promelas,2021,11,11,JAR9776F,WM,04/28/2025,,57,47,1865.5,WM KL,NA,NA,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
