"","X","InstitutionCode","CollectionCode","CatalogNumber","IndividualCount","ScientificName","Family","PreparationType","Tissues","Latitude","Longitude","CoordinateUncertaintyInMeters","HorizontalDatum","Country","StateProvince","County","Island","IslandGroup","Locality","VerbatimElevation","VerbatimDepth","YearCollected","MonthCollected","DayCollected","Collector","GeorefMethod","LatLongComments","BasisOfRecord","Remarks","DateLastModified","CI","decade","combo","number_individuals_requested"
"19",53,"MSB","Fish specimens","MSB:Fish:327",21,"Gambusia affinis","Poeciliidae","unknown; whole organism (formalin-fixed, 70% ethanol)",NA,35.37417,-106.49278,3036,"World Geodetic System 1984","United States","New Mexico","Sandoval County",NA,NA,"Algodones Riverside Drain, north of Bernalillo near Angostura.",NA,"",1942,2,28,"Collector(s): William J. Koster, Merle A. Gee","GeoLocate",NA,"PreservedSpecimen","verbatim collectors: William J. Koster, Merle A. Gee","2019-05-26 21:51:39.0","control","1941-1950","control_1941-1950",5
"20",216,"MSB","Fish specimens","MSB:Fish:365",61,"Gambusia affinis","Poeciliidae","tissue (freeze-dried); whole organism (formalin-fixed, 70% ethanol)",NA,35.321576,-106.555389,NA,"World Geodetic System 1984","United States","New Mexico","Sandoval County",NA,NA,"East Riverside Drain, above Bernalillo.",NA,"",1947,9,27,"Collector(s): William J. Koster, R. Ivey","not recorded",NA,"PreservedSpecimen","verbatim collectors: William J. Koster, R. Ivey","2019-05-26 21:22:51.0","control","1941-1950","control_1941-1950",5
"28",168,"MSB","Fish specimens","MSB:Fish:330",139,"Gambusia affinis","Poeciliidae","whole organism (formalin-fixed, 70% ethanol)",NA,35.211994,-106.631125,658,"World Geodetic System 1984","United States","New Mexico","Sandoval County",NA,NA,"Drain on west of Rio Grande, 1.25 mile northwest of Alameda.",NA,"",1949,11,5,"Collector(s): William J. Koster","GeoLocate",NA,"PreservedSpecimen","Storage: 70% EtOH","2019-05-26 21:51:44.0","control","1941-1950","control_1941-1950",5
"29",13,"MSB","Fish specimens","MSB:Fish:324",69,"Gambusia affinis","Poeciliidae","whole organism (formalin-fixed, 70% ethanol)",NA,35.229809,-106.616288,NA,"World Geodetic System 1984","United States","New Mexico","Sandoval County",NA,NA,"Riverside Drain on Rio Grande, 3.0 miles north of Alameda Boulevard or NM State HWY 528 bridge, Albuquerque.",NA,"",1950,10,18,"Collector(s): William J. Koster","not recorded",NA,"PreservedSpecimen","Storage: 70% EtOH","2019-05-26 21:51:38.0","control","1941-1950","control_1941-1950",5
"30",83,"MSB","Fish specimens","MSB:Fish:334",14,"Gambusia affinis","Poeciliidae","whole organism (formalin-fixed, 70% ethanol)",NA,35.302146,-106.571551,NA,"World Geodetic System 1984","United States","New Mexico","Sandoval County",NA,NA,"Rio Grande, Bernalillo Riverside Drain.",NA,"",1952,5,3,"Collector(s): William J. Koster","not recorded",NA,"PreservedSpecimen","Kind_Type: VIAL JAR; Calcfld: 212-A; Storage: 70% EtOH, 212-A;","2019-05-26 21:51:45.0","control","1951-1960","control_1951-1960",5
"34",8,"MSB","Fish specimens","MSB:Fish:292",12,"Gambusia affinis","Poeciliidae","whole organism (formalin-fixed, 70% ethanol)",NA,35.408152,-106.470544,NA,"World Geodetic System 1984","United States","New Mexico","Sandoval County",NA,NA,"Rio Grande, 2.0 miles south of San Felipe Pueblo, off the Atchison, Topeka and Santa Fe Railroad tracks and BIA Road 852, San Felipe Indian Reservation.",NA,"",1961,2,12,"Collector(s): J. K. Winther Jr.","not recorded",NA,"PreservedSpecimen","Kind_Type: VIAL JAR; Calcfld: 212-A; Storage: 70% EtOH, 212-A;","2019-05-26 21:37:22.0","control","1961-1970","control_1961-1970",5
"36",103,"MSB","Fish specimens","MSB:Fish:3391",768,"Gambusia affinis","Poeciliidae","whole organism (formalin-fixed, 70% ethanol)",NA,35.383813,-106.481,NA,"World Geodetic System 1984","United States","New Mexico","Sandoval County",NA,NA,"A clear ditch flowing between Rio Grande and Algodones Riverside Drain, San Felipe Indian Reservation.",NA,"",1965,5,18,"Collector(s): G. C. Kobetich, L. T. Lamb","not recorded",NA,"PreservedSpecimen","verbatim collectors: G. C. Kobetich, L. T. Lamb","2019-05-27 02:57:52.0","control","1961-1970","control_1961-1970",5
"37",37,"MSB","Fish specimens","MSB:Fish:2795",62,"Gambusia affinis","Poeciliidae","whole organism (formalin-fixed, 70% ethanol)",NA,35.253452,-106.592892,1000,"World Geodetic System 1984","United States","New Mexico","Sandoval County",NA,NA,"Rio Grande, at turnoff from NM State HWY 448, 5.4 miles north of west end of Alameda Boulevard or NM State HWY 528 bridge, Albuquerque.",NA,"",1969,4,2,"Collector(s): William J. Koster","GeoLocate",NA,"PreservedSpecimen","Storage: 70% EtOH","2019-05-27 00:20:42.0","control","1961-1970","control_1961-1970",5
"38",96,"MSB","Fish specimens","MSB:Fish:3421",62,"Gambusia affinis","Poeciliidae","whole organism (formalin-fixed, 70% ethanol)",NA,35.249718,-106.603396,2077,"World Geodetic System 1984","United States","New Mexico","Sandoval County",NA,NA,"Corrales Lateral Canal, ca. 2.0 miles north of Corrales, west of NM State HWY 448 and Rio Grande.",NA,"",1972,6,19,"Collector(s): William J. Koster","GeoLocate",NA,"PreservedSpecimen","Storage: 70% EtOH","2019-05-27 03:01:02.0","control","1971-1980","control_1971-1980",5
"41",46,"MSB","Fish specimens","MSB:Fish:4172",225,"Gambusia affinis","Poeciliidae","whole organism (formalin-fixed, 70% ethanol)",NA,35.26637,-106.598674,NA,"World Geodetic System 1984","United States","New Mexico","Sandoval County",NA,NA,"Upper Corrales Riverside Drain, 2.0 miles NNE of Corrales, between NM State HWY 448 and Rio Grande.",NA,"",1977,5,10,"Collector(s): Charles W. Painter, E. W. Hansman, D. Earp","not recorded",NA,"PreservedSpecimen","verbatim collectors: Charles W. Painter, E. W. Hansman, D. Earp","2019-05-27 03:25:51.0","control","1971-1980","control_1971-1980",5
