"","InstitutionCode","CollectionCode","CatalogNumber","IndividualCount","ScientificName","Family","PreparationType","Tissues","Latitude","Longitude","CoordinateUncertaintyInMeters","HorizontalDatum","Country","StateProvince","County","Island","IslandGroup","Locality","VerbatimElevation","VerbatimDepth","YearCollected","MonthCollected","DayCollected","Collector","GeorefMethod","LatLongComments","BasisOfRecord","Remarks","DateLastModified","number_requested"
"200","MSB","Fish specimens","MSB:Fish:1101",208,"Gambusia affinis","Poeciliidae","whole organism (formalin-fixed, 70% ethanol)",NA,35.100259,-106.692107,650,"North American Datum 1983","United States","New Mexico","Bernalillo County",NA,NA,"Palmer's Slough, east of Rio Grande Albuquerque NW Section, an area of remanant bosque and wetlands.",NA,"",1938,10,18,"Collector(s): William J. Koster","GeoLocate",NA,"PreservedSpecimen","Storage: 70% EtOH","2019-05-26 21:27:41.0",15
"201","MSB","Fish specimens","MSB:Fish:1082",278,"Gambusia affinis","Poeciliidae","whole organism (formalin-fixed, 70% ethanol)",NA,35.100259,-106.692107,650,"North American Datum 1983","United States","New Mexico","Bernalillo County",NA,NA,"Palmer's Slough, east of Rio Grande Albuquerque NW Section, an area of remanant bosque and wetlands.",NA,"",1938,10,19,"Collector(s): William J. Koster","GeoLocate",NA,"PreservedSpecimen","Storage: 70% EtOH","2019-05-26 21:37:20.0",15
"76","MSB","Fish specimens","MSB:Fish:1077",362,"Gambusia affinis","Poeciliidae","whole organism; whole organism (formalin-fixed, 70% ethanol)",NA,35.164679,-106.652537,NA,"World Geodetic System 1984","United States","New Mexico","Bernalillo County",NA,NA,"Ditch along Rio Grande Boulevard, between Alameda and Albuquerque.",NA,"",1938,10,20,"Collector(s): William J. Koster","not recorded",NA,"PreservedSpecimen","Storage: 70% EtOH; 5 REMOVED FOR C&S; IN POOR CONDITION.","2019-05-26 21:12:58.0",15
"60","MSB","Fish specimens","MSB:Fish:1104",27,"Gambusia affinis","Poeciliidae","whole organism (formalin-fixed, 70% ethanol)",NA,35.169258,-106.62832,NA,"World Geodetic System 1984","United States","New Mexico","Bernalillo County",NA,NA,"Conservancy ditch, north Second Street NW, south of Alameda.",NA,"",1938,10,13,"Collector(s): William J. Koster","not recorded",NA,"PreservedSpecimen","Storage: 70% EtOH","2019-05-26 21:41:52.0",14
"98","MSB","Fish specimens","MSB:Fish:1090",114,"Gambusia affinis","Poeciliidae","unknown; whole organism (formalin-fixed, 70% ethanol)",NA,34.906619,-106.685289,NA,"World Geodetic System 1984","United States","New Mexico","Bernalillo County",NA,NA,"Rio Grande, just north of Valencia County.",NA,"",1939,6,9,"Collector(s): William J. Koster, Lela R. Koster, P. Bretney","not recorded",NA,"PreservedSpecimen","verbatim collectors: William J. Koster, Lela R. Koster, P. Bretney","2019-05-26 21:13:01.0",15
"64","MSB","Fish specimens","MSB:Fish:1081",133,"Gambusia affinis","Poeciliidae","whole organism (formalin-fixed, 70% ethanol)",NA,35.072363,-106.668064,3507,"World Geodetic System 1984","United States","New Mexico","Bernalillo County",NA,NA,"First ditch west of Rio Grande, Albuquerque.",NA,"",1939,3,17,"Collector(s): Robert Troxel","GeoLocate",NA,"PreservedSpecimen","Storage: 70% EtOH","2019-05-26 21:22:57.0",15
"65","MSB","Fish specimens","MSB:Fish:1100",222,"Gambusia affinis","Poeciliidae","whole organism (formalin-fixed, 70% ethanol)",NA,35.072363,-106.668064,3507,"World Geodetic System 1984","United States","New Mexico","Bernalillo County",NA,NA,"First ditch west of Rio Grande, Albuquerque.",NA,"",1939,2,26,"Collector(s): Robert Troxel","GeoLocate",NA,"PreservedSpecimen","Storage: 70% EtOH","2019-05-26 21:27:41.0",15
"155","MSB","Fish specimens","MSB:Fish:1078",328,"Gambusia affinis","Poeciliidae","whole organism (formalin-fixed, 70% ethanol)",NA,35.087167,-106.682164,160,"World Geodetic System 1984","United States","New Mexico","Bernalillo County",NA,NA,"First ditch west of Rio Grande at US HWY 66 or Central Avenue bridge, Albuquerque.",NA,"",1939,1,30,"Collector(s): Robert Troxel, R. T. Fincke","GeoLocate",NA,"PreservedSpecimen","verbatim collectors: Robert Troxel, R. Fincke","2019-05-26 21:18:26.0",15
"156","MSB","Fish specimens","MSB:Fish:1089",185,"Gambusia affinis","Poeciliidae","whole organism (formalin-fixed, 70% ethanol)",NA,35.087167,-106.682164,160,"World Geodetic System 1984","United States","New Mexico","Bernalillo County",NA,NA,"First ditch west side of Grand-Central bridge, west side of Rio Grande, Albuquerque.",NA,"",1939,1,24,"Collector(s): Robert Troxel, R. T. Fincke","GeoLocate",NA,"PreservedSpecimen","verbatim collectors: Robert Troxel, R. Fincke","2019-05-26 21:23:03.0",15
"202","MSB","Fish specimens","MSB:Fish:1080",10,"Gambusia affinis","Poeciliidae","whole organism (formalin-fixed, 70% ethanol)",NA,35.100259,-106.692107,650,"North American Datum 1983","United States","New Mexico","Bernalillo County",NA,NA,"Palmer's Slough, east of Rio Grande Albuquerque NW Section, an area of remanant bosque and wetlands.",NA,"",1939,2,26,"Collector(s): William J. Koster, R. Troxel","GeoLocate",NA,"PreservedSpecimen","Kind_Type: VIAL JAR; Calcfld: 212-A; Storage: 70% EtOH, 212-A;","2019-05-26 21:37:26.0",5
