"","CatalogNumber","YearCollected","MonthCollected","DayCollected","IndividualFishID","FishBarcode","Dissector","Examiner","DissectionDate","Sex","TotalLength_mm","StandardLength_mm","Weight_mg","CI","combo","Latitude","Longitude","cope.imler","cope.lern","mono.dact","mono.gyro","myxo.b","nem.cl","nem.unk","trem.b","trem.d","trem.diplo","trem.dlum","trem.em","trem.fim","trem.gold","trem.l","trem.meta.unk","trem.ridge"
"1","MSB:Fish:1129",1959,2,20,"MSB 1129-5","JAR8672F","JG","CW","06-20-2025",NA,40,32,383,"control","control_1951-1960",35.350556,-106.535497,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2","MSB:Fish:1129",1959,2,20,"MSB 1129-2","JAR8674F","EO","CLW","06-20-2025",NA,46,34,697,"control","control_1951-1960",35.350556,-106.535497,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
"3","MSB:Fish:1129",1959,2,20,"MSB 1129-1","JAR8668F","JG","KL","06-20-2025",NA,41,33,519,"control","control_1951-1960",35.350556,-106.535497,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"4","MSB:Fish:1129",1959,2,20,"MSB 1129-4","JAR8671F","EO","JG KL","06-20-2025",NA,41,31,580,"control","control_1951-1960",35.350556,-106.535497,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"5","MSB:Fish:1129",1959,2,20,"MSB 1129-3","JAR8673F","JG","CW","06-20-2025",NA,43,36,659,"control","control_1951-1960",35.350556,-106.535497,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0
"6","MSB:Fish:1130",1949,10,29,"MSB 1130-5","JAR8701F","EO","KL","06-24-2025",NA,57,48,2022,"impact","impact_1941-1950",34.87537,-106.717837,0,0,2,0,0,0,0,2,0,0,0,0,2,0,0,0,0
"7","MSB:Fish:1130",1949,10,29,"MSB 1130-3","JAR8697F","JG","JG CW","06-24-2025",NA,61,49,1811,"impact","impact_1941-1950",34.87537,-106.717837,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"8","MSB:Fish:1130",1949,10,29,"MSB 1130-4","JAR8699F","BP","CLW","06-24-2025",NA,62,47,2068,"impact","impact_1941-1950",34.87537,-106.717837,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
"9","MSB:Fish:1130",1949,10,29,"MSB 1130-1","JAR8690F","JG","JG KL","06-24-2025",FALSE,71,58,3286,"impact","impact_1941-1950",34.87537,-106.717837,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
"10","MSB:Fish:1130",1949,10,29,"MSB 1130-2","JAR8695F","BP","KL","06-24-2025",FALSE,68,54,3151,"impact","impact_1941-1950",34.87537,-106.717837,0,0,2,0,0,0,0,4,0,0,0,0,0,0,0,0,0
"11","MSB:Fish:1131",1959,2,24,"MSB 1131-5","JAR8682F","BP","KL","06-23-2025",NA,53,44,1289,"impact","impact_1951-1960",34.987044,-106.690293,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0
"12","MSB:Fish:1131",1959,2,24,"MSB 1131-2","JAR8689F","EO","CW","06-23-2025",NA,60,47,1798,"impact","impact_1951-1960",34.987044,-106.690293,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"13","MSB:Fish:1131",1959,2,24,"MSB 1131-3","JAR8693F","BP","CW","06-23-2025",FALSE,54,44,1280,"impact","impact_1951-1960",34.987044,-106.690293,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"14","MSB:Fish:1131",1959,2,24,"MSB 1131-4","JAR8680F","EO","KL","06-23-2025",NA,52,43,1316,"impact","impact_1951-1960",34.987044,-106.690293,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"15","MSB:Fish:1131",1959,2,24,"MSB 1131-2","JAR8691F","JG","CLW","06-23-2025",NA,63,51,1849,"impact","impact_1951-1960",34.987044,-106.690293,0,0,0,NA,0,0,0,0,0,0,0,0,NA,0,0,NA,0
"16","MSB:Fish:1132",1947,10,25,"MSB 1132-1","JAR8684F","JG","CW","06-23-2025",NA,71,58,3310,"control","control_1941-1950",35.380629,-106.503529,0,0,0,0,0,0,0,0,0,1,0,0,0,9,0,0,0
"17","MSB:Fish:1132",1947,10,25,"MSB 1132-4","JAR8694F","JG","KL","06-23-2025",NA,63,54,2744,"control","control_1941-1950",35.380629,-106.503529,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
"18","MSB:Fish:1132",1947,10,25,"MSB 1132-5","JAR8692F","JG","CW","06-23-2025",NA,61,49,1975,"control","control_1941-1950",35.380629,-106.503529,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0
"19","MSB:Fish:1132",1947,10,25,"MSB 1132-3","JAR8688F","JG","CLW","06-23-2025",NA,77,64,4621,"control","control_1941-1950",35.380629,-106.503529,0,0,0,0,0,0,0,0,0,61,0,0,0,0,0,0,0
"20","MSB:Fish:1132",1947,10,25,"MSB 1132-2","JAR8686F","JG","CW","06-23-2025",NA,73,62,3934,"control","control_1941-1950",35.380629,-106.503529,0,0,0,0,0,0,0,0,0,50,0,0,0,0,0,0,0
"21","MSB:Fish:1149",1939,2,26,"MSB 1149-1","JAR8871F","JG","GC","07-02-2025",NA,55,45,1360,"impact","impact_1931-1940",35.100259,-106.692107,0,0,12,0,0,0,0,0,1,19,0,0,0,0,0,0,0
"22","MSB:Fish:1149",1939,2,26,"MSB 1149-5","JAR8872F","EO","KL","07-02-2025",FALSE,76,57,3276,"impact","impact_1931-1940",35.100259,-106.692107,0,0,38,1,0,0,0,0,0,50,0,0,0,0,0,0,0
"23","MSB:Fish:1149",1939,2,26,"MSB 1149-3","JAR8875F","EO","EO KL","07-02-2025",NA,61,47,1795,"impact","impact_1931-1940",35.100259,-106.692107,0,0,26,0,0,0,0,11,0,27,0,0,0,0,0,0,0
"24","MSB:Fish:1149",1939,2,26,"MSB 1149-4","JAR8877F","JG","CW","07-02-2025",NA,57,45,1435,"impact","impact_1931-1940",35.100259,-106.692107,0,0,0,0,0,0,0,0,0,23,0,0,0,0,0,0,0
"25","MSB:Fish:1149",1939,2,26,"MSB 1149-2","JAR8873F","JG","GC","07-02-2025",FALSE,64,52,2298,"impact","impact_1931-1940",35.100259,-106.692107,0,0,16,0,0,0,0,0,2,66,0,0,0,0,0,0,0
"26","MSB:Fish:1150",1939,6,9,"MSB 1150-3","JAR8712F","BP","CW","06-24-2025",FALSE,71,54,4462,"impact","impact_1931-1940",34.906619,-106.685289,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
"27","MSB:Fish:1150",1939,6,9,"MSB 1150-1","JAR8708F","BP","KL","06-24-2025",NA,63,50,2550,"impact","impact_1931-1940",34.906619,-106.685289,0,0,34,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"28","MSB:Fish:1150",1939,6,9,"MSB 1150-2","JAR8714F","JG","CLW","06-24-2025",FALSE,72,61,4536,"impact","impact_1931-1940",34.906619,-106.685289,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"29","MSB:Fish:1150",1939,6,9,"MSB 1150-5","JAR8710F","BP","CW","06-24-2025",FALSE,60,49,2576,"impact","impact_1931-1940",34.906619,-106.685289,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0
