"","CatalogNumber","YearCollected","MonthCollected","DayCollected","IndividualFishID","FishBarcode","Dissector","Examiner","DissectionDate","Sex","TotalLength_mm","StandardLength_mm","Weight_mg","CI","combo","Latitude","Longitude","trem.meta","crus.lercyp","trem.diphur","trem.n","mono.gyrsp","mono.unk","trem.white","trem.p","trem.neasp","trem.unk","trem.acet","trem.unclear","cest.larv","nem.cont","trem.cent","nem.cap","cest.b","trem.buc","nem.unk","nem.larv","myxo.myxsp","myxo.m","mono.dacsp"
"1","MBS:Fish:1069",1963,NA,22,"MSB 1069-4","JAR11717F","EO","BP","07-29-2025",NA,37,29,428,NA,NA,NA,NA,0,0,0,0,0,0,0,NA,0,0,0,0,0,NA,0,0,0,0,0,0,0,2,0
"2","MSB:Fish:1069",1963,2,22,"MSB 1069-1","JAR11714F","JG","GC","07-29-2025",NA,48,38,1020,"impact","impact_1961-1970",35.051774,-106.671997,0,0,1,0,0,0,0,NA,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,0
"3","MSB:Fish:1069",1963,2,22,"MSB 1069-5","JAR11716F","EO","JG","07-29-2025",NA,39,31,448,"impact","impact_1961-1970",35.051774,-106.671997,0,0,0,0,0,0,0,NA,0,0,0,0,0,NA,0,0,0,0,0,NA,0,0,0
"4","MSB:Fish:1069",1963,2,22,"MSB 1069-2","JAR11713F","EO","GC","07-29-2025",NA,42,34,611,"impact","impact_1961-1970",35.051774,-106.671997,0,0,0,0,0,0,0,NA,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,0
"5","MSB:Fish:1069",1963,2,22,"MSB 1069-3","JAR11715F","JG","JG","07-29-2025",NA,37,30,456,"impact","impact_1961-1970",35.051774,-106.671997,0,0,2,0,0,0,0,NA,0,0,0,0,0,NA,0,0,0,0,0,NA,0,0,0
"6","MSB:Fish:11909",1992,9,16,"MSB 11909-3","JAR10974F","KL","KL","08-11-2025",NA,35,29,380,"impact","impact_1991-2000",35.074,-106.6697778,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,0
"7","MSB:Fish:11909",1992,9,16,"MSB 11909-2","JAR10963F","KL","KL","08-11-2025",NA,34,27,317,"impact","impact_1991-2000",35.074,-106.6697778,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,0
"8","MSB:Fish:11909",1992,9,16,"MSB 11909-1","JAR10971F","KL","KL","08-11-2025",NA,45,37,806,"impact","impact_1991-2000",35.074,-106.6697778,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,0
"9","MSB:Fish:11909",1992,9,16,"MSB 11909-5","JAR10968F","KL","KL","08-11-2025",NA,35,30,392,"impact","impact_1991-2000",35.074,-106.6697778,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,0
"10","MSB:Fish:11909",1992,9,16,"MSB 11909-4","JAR10989F","KL","KL","08-11-2025","F",36,29,420,"impact","impact_1991-2000",35.074,-106.6697778,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"11","MSB:Fish:11954",1992,9,24,"MSB 11954-4","JAR11664F","EO","EO","07-28-2025",NA,40,31,625,"control","control_1991-2000",35.28086111,-106.5988056,0,0,0,0,0,0,0,NA,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,2
"12","MSB:Fish:11954",1992,9,24,"MSB 11954-2","JAR11663F","BP","CLW","07-28-2025","F",36,29,445,"control","control_1991-2000",35.28086111,-106.5988056,0,0,0,0,0,0,0,NA,0,0,0,0,0,NA,0,0,0,0,0,NA,0,0,0
"13","MSB:Fish:11954",1992,9,24,"MSB 11954-1","JAR11665F","BP","GC","07-28-2025",NA,42,33,783,"control","control_1991-2000",35.28086111,-106.5988056,0,0,0,0,0,0,0,NA,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,0
"14","MSB:Fish:11954",1992,9,24,"MSB 11954-5","JAR11662F","BP","BP","07-28-2025",NA,43,33,735,"control","control_1991-2000",35.28086111,-106.5988056,0,0,0,0,0,0,0,NA,0,0,0,0,0,NA,0,0,0,0,0,0,1,0,0
"15","MSB:Fish:11954",1992,9,24,"MSB 11954-3","JAR11661F","EO","JG","07-28-2025",NA,42,33,642,"control","control_1991-2000",35.28086111,-106.5988056,0,0,0,0,0,0,0,NA,0,0,0,0,0,NA,1,0,0,0,0,0,0,0,0
"16","MSB:Fish:124139",2021,NA,7,"MSB 124139-1","JAR9771F","CMK","KL","05-07-2025","F",54,47,1639,NA,NA,NA,NA,0,0,0,0,0,0,0,NA,0,0,0,0,0,NA,0,0,0,0,0,NA,0,0,2
"17","MSB:Fish:124139",2021,NA,7,"MSB 124139-2","JAR9770F","CMK","KL","05-07-2025",NA,53,44,1482,NA,NA,NA,NA,0,1,0,0,2,0,0,NA,0,0,0,0,0,NA,0,0,0,0,0,NA,0,0,0
"18","MSB:Fish:124139",2025,NA,7,"MSB 124139-3","JAR9768F","CMK","KL","05-07-2025","M",58,48,2264,NA,NA,NA,NA,0,0,0,0,0,0,0,NA,2,0,0,0,0,NA,0,0,0,0,0,NA,0,0,0
"19","MSB:Fish:124141",2021,NA,7,"MSB 124141-3","JAR9778F","KL","KL","05-05-2025",NA,53,43,1625,NA,NA,NA,NA,0,0,0,0,0,0,0,NA,0,0,0,0,0,NA,0,0,0,0,0,NA,0,0,0
"20","MSB:Fish:124141",2021,NA,7,"MSB 124141-2","JAR9773F","BP","CMK KL","04-28-2025","F",52,45,1805,NA,NA,NA,NA,0,0,0,0,0,0,0,NA,4,0,0,0,0,NA,0,0,0,0,0,NA,0,0,0
"21","MSB:Fish:124141",2021,NA,7,"MSB 124141-1","JAR9772F","BP","BP KL","04-28-2025","F",49,40,1452,NA,NA,NA,NA,0,0,0,0,0,0,0,NA,0,0,0,0,0,NA,0,0,0,0,0,NA,0,0,0
"22","MSB:Fish:124141",2021,NA,7,"MSB 124141-4","JAR9775F","KL","KL","05-05-2025","F",44,36,975.9,NA,NA,NA,NA,0,0,0,0,0,0,0,NA,0,0,0,0,0,NA,0,0,0,0,0,NA,1,0,4
"23","MSB:Fish:124143",2021,NA,7,"MSB 124143-1","JAR9750F","WM","WM KL","05-12-2025",NA,51,43,1240.2,NA,NA,NA,NA,0,0,1,0,0,0,0,NA,0,0,0,0,0,NA,0,0,0,0,0,NA,0,0,2
"24","MSB:Fish:124143",2021,NA,7,"MSB 124143-2","JAR9766F","WM","KL","05-12-2025",NA,51,43,1430.1,NA,NA,NA,NA,0,0,0,0,0,0,0,NA,0,0,0,0,0,NA,0,0,0,0,0,NA,0,0,0
"25","MSB:Fish:124144",2021,NA,11,"MSB 124144-4","JAR9782F","KL","KL","05-05-2025",NA,68,55,NA,NA,NA,NA,NA,0,0,1,0,0,0,0,NA,0,0,0,0,0,NA,0,0,0,0,0,NA,0,0,2
"26","MSB:Fish:124144",2021,NA,11,"MSB 124144-5","JAR9783F","KL","KL","05-05-2025","F",56,44,1724.1,NA,NA,NA,NA,0,0,0,0,0,0,0,NA,0,0,0,0,0,NA,0,0,0,0,0,NA,0,0,0
"27","MSB:Fish:124144",2021,NA,11,"MSB 124144-6","JAR9760F","KL","KL","05-05-2025",NA,50,39,1024.4,NA,NA,NA,NA,0,0,0,0,0,0,0,NA,0,0,0,0,0,NA,0,0,0,0,0,NA,0,0,2
"28","MSB:Fish:124144",2021,NA,11,"MSB 124144-7","JAR9761F","KL","KL","05-05-2025","F",59,49,1939.3,NA,NA,NA,NA,0,0,0,0,0,0,0,NA,0,0,0,0,0,NA,0,0,0,0,0,NA,0,0,2
"29","MSB:Fish:124144",2021,NA,11,"MSB 124144-1","JAR9774F","WM","KL","04-28-2025","F",58,48,2093.6,NA,NA,NA,NA,0,0,0,0,0,0,0,NA,0,0,0,0,0,NA,0,0,0,0,0,NA,0,0,2
"30","MSB:Fish:124144",2021,NA,11,"MSB 124144-2","JAR9777F","WM","CMK","04-28-2025",NA,54,47,1571.8,NA,NA,NA,NA,0,0,0,0,0,0,0,NA,0,0,0,0,0,NA,0,0,0,0,0,NA,0,0,0
"31","MSB:Fish:124144",2021,NA,11,"MSB 124144-3","JAR9776F","WM","WM KL","04-28-2025",NA,57,47,1865.5,NA,NA,NA,NA,0,0,0,0,0,0,0,NA,0,0,0,0,0,NA,0,0,0,0,0,NA,0,0,0
"32","MSB:Fish:124146",2021,NA,11,"MSB 124146-1","JAR9763F","WM","KL","05-12-2025",NA,62,57,4042.3,NA,NA,NA,NA,0,0,1,0,0,0,0,NA,0,0,0,0,0,NA,0,0,0,0,0,NA,1,0,2
"33","MSB:Fish:124148",2021,NA,11,"MSB 124148-1","JAR9702F","KL","CK KL","04-08-2025","M",51,42,1338,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,0
"34","MSB:Fish:124149",2022,NA,7,"MSB 124149-1","JAR9764F","WM","KL","05-12-2025",NA,54,45,1979,NA,NA,NA,NA,0,0,0,0,0,0,0,NA,0,0,0,0,0,NA,0,0,0,0,0,NA,0,0,0
"35","MSB:Fish:124152",2022,NA,3,"MSB 124152-1","JAR9762F","CM ","KL","05-07-2025",NA,59,50,1214,NA,NA,NA,NA,0,0,3,0,0,0,0,NA,0,0,0,0,0,NA,0,0,0,0,0,NA,0,0,0
"36","MSB:Fish:124152",2022,NA,3,"MSB 124152-2","JAR9765F","KL","KL","05-07-2025","M",70,57,4491,NA,NA,NA,NA,0,1,0,0,0,0,0,NA,0,0,0,0,0,NA,0,0,0,0,0,NA,1,0,0
"37","MSB:Fish:124153",2025,NA,3,"MSB 124153-1","JAR9705F","DW","BP KL","04-08-2025",NA,37,31,739,NA,NA,NA,NA,0,0,4,0,0,0,0,NA,0,0,0,0,0,NA,0,0,0,0,0,NA,0,0,12
"38","MSB:Fish:124155",2022,NA,5,"MSB 124155-3","JAR9780F","KL","KL","05-05-2025",NA,49,38,1296.5,NA,NA,NA,NA,0,0,0,0,0,0,0,NA,0,0,0,0,0,NA,0,0,0,0,0,NA,1,0,2
"39","MSB:Fish:124155",2022,NA,5,"MSB 124155-2","JAR9779F","KL","KL","05-05-2025","F",46,38,1213.3,NA,NA,NA,NA,0,0,0,0,0,0,0,NA,0,0,0,0,0,NA,0,0,0,0,0,NA,0,0,0
"40","MSB:Fish:124155",2021,NA,5,"MSB 124155-1","JAR9781F","KL","KL","05-05-2025","F",54,44,1851.7,NA,NA,NA,NA,0,0,0,0,0,0,0,NA,0,0,0,0,0,NA,0,0,0,0,0,NA,0,0,4
"41","MSB:Fish:124157",2022,NA,5,"MSB 124157-1","JAR9708F","SV","KL","04-14-2025",NA,29,25,374,NA,NA,NA,NA,0,0,0,0,0,0,0,NA,0,0,0,0,0,NA,0,0,0,0,0,NA,0,0,2
"42","MSB:Fish:124157",2022,NA,5,"MSB 124157-2","JAR9707F","WM","WM KL","04-14-2025",NA,36,30,667.4,NA,NA,NA,NA,0,0,0,0,0,0,0,NA,0,0,0,0,0,NA,0,0,0,0,0,NA,0,0,0
"43","MSB:Fish:124157",2022,NA,5,"MSB 124157-4","JAR9710F","SV","SV KL","04-14-2025",NA,36,30,752,NA,NA,NA,NA,0,0,0,0,0,0,0,NA,0,0,0,0,0,NA,0,0,0,0,0,NA,0,0,0
"44","MSB:Fish:124157",2025,NA,5,"MSB 124157-7","JAR9703F","SV","BP KL","04-14-2025","F",47,38,1243,NA,NA,NA,NA,0,0,0,0,1,0,0,NA,0,0,0,0,0,NA,0,0,0,0,0,NA,0,0,2
"45","MSB:Fish:124157",2022,NA,5,"MSB 124157-6","JAR9704F","WM","WM KL","04-14-2025",NA,43,34,725,NA,NA,NA,NA,0,0,0,0,0,0,0,NA,0,0,0,0,0,NA,0,0,0,0,0,NA,0,0,0
"46","MSB:Fish:124157",2022,NA,5,"MSB 124157-3","JAR9709F","SV","KL","04-14-2025","M",60,49,1971,NA,NA,NA,NA,0,0,0,0,0,0,0,NA,0,0,0,0,0,NA,0,0,0,0,0,NA,0,0,0
"47","MSB:Fish:124157",2022,NA,5,"MSB 124157-5","JAR9706F","WM","N/A","04-14-2025","F",46,37,1237.4,NA,NA,NA,NA,0,0,0,0,0,0,0,NA,0,0,0,0,0,NA,0,0,0,0,0,NA,0,0,0
"48","MSB:Fish:124158",2022,NA,5,"MSB 124159-1","JAR9700F","KL","BP KL","03-27-2025","F",47,36,1175,NA,NA,NA,NA,0,0,0,0,0,0,0,NA,0,0,0,0,0,NA,0,0,0,0,0,NA,0,0,0
"49","MSB:Fish:124159",2022,NA,5,"MSB 124159-2","JAR9701F","KL WM","KL","03-27-2025","F",55,44,1640,NA,NA,NA,NA,0,0,0,0,0,0,0,NA,0,0,0,0,0,NA,0,0,0,0,0,NA,0,0,0
"50","MSB:Fish:124161",2022,NA,10,"MSB 124161-1","JAR9769F","CMK","KL","05-07-2025","F",42,39.5,832,NA,NA,NA,NA,0,0,0,0,0,0,0,NA,0,0,0,0,0,NA,0,0,0,0,0,NA,0,0,0
