CatalogNumber,IndividualFishID,IndividualCount,ScientificName,Latitude,Longitude,Locality,YearCollected,MonthCollected,DayCollected,Collector,Dissector,DissectionDate,TotalLength_mm,StandardLength_mm,weight_mg,Sex,Date_datasheet_complete,Notes,TREM.LARV.Skin,MYX.S.SKIN,MYX.F.SKIN,CYST.UNK.SKIN,COPE.HNY.SKIN,BuccalCavity,BodyCavity,TREM.LARV.PectoralFin,MYX.F.PECTORALFIN,MYX.F.PELVICFIN,MYX.F.ANALFIN,MYX.F.CAUDALFIN,MYX.F.DORSALFIN,CYST.B.PECTORALFIN,CYST.UNK.PELVIC,TREM.LARV.PelvicFin,MYX.F.PELVICFIN,TREM.LARV.AnalFin,MYX.F.ANALFIN,TREM.LARV.CaudalFin,META.UNK.CAUDALFIN,MYX.F.CAUDALFIN,MYX.F.DorsalFin,CILLIATE.FU.PectoralFin,Gonad,Liver,Spleen,MYX.KL.Kidney,meta.unk.eye,MYX.E.EYE,Heart,MYX.CM.GALLBLADDER,MYX.GM.Gallbladder,myx.bna.gallbladder,MYX.UNK.SWIMBLADDER,CEST.MEGAN.STOMACH,NEM.B.STOMACH,NEM.LARV.STOMACH,NEM.CER.Stomach,CEST.ARCH.INTESTINE,CEST.WS.INTESTINE,CEST.TRI.INTESTINE,CEST.MEGAN.INTESTINE,CEST.UNK.INTESTINE,NEM.AM.INTESTINE,NEM.B.INTESTINE,nem.ooh.intestine,NEM.CER.INTESTINE,NEM.CERL.INTESTINE,NEM.CTR.INTESTINE,NEM.UNK.Intestine,TREM.SEP.INTESTINE,TREM.ORS.INTESTINE,TREM.CV.INTESTINE,META.UNK.INTESTINE,CYST.DE.INTESTINE,CYST.UNKN.Intestine,meta.unk.connectivetissues,CYST.UNKN.ConnectiveTissue,MYX.G.GILL,MYX.E.GILL,COPE.HNY.GILL,CILIATE.FU.GILL,CYST.UNKN.Gill,MONO.NID.Flush,Myx.g.Flush,CILIATE.VOUCH,CEST.ARCH.VOUCH,CEST.WS.VOUCH,CEST.TRI.VOUCH,CEST.MEGAN.VOUCH,CEST.UNK.VOUCH,COPE.HNY.VOUCH,NEM.AM.VOUCH,NEM.B.VOUCH,nem.ooh.vouch,NEM.CER.VOUCH,NEM.CERL.VOUCH,NEM.CTR.VOUCH,NEM.UNK.VOUCH,META.UNK.VOUCH,TREM.SEP.VOUCH,TREM.ORS.VOUCH,TREM.CV.VOUCH,TREM.LARV.SKIN.VOUCH,TREM.LARV.FIN.VOUCH,TREM.SEP.VOUCH,MONO.NID.VOUCH,MYX.E.VOUCH,MYX.GM.VOUCH,MYX.KL.VOUCH,MYX.S.VOUCH,MYX.BNA.VOUCH,MYX.G.VOUCH,MYX.CM.VOUCH,MYX.F.VOUCH,CYST.DE.VOUCH,CYST.UNKN.VOUCH,CEST.ARCH.MOUNT,CEST.WS.MOUNT,CEST.TRI.MOUNT,CEST.MEGAN.MOUNT,TREM.CV.MOUNT
112555,112555_01,20,Carpiodes velifer,30.74472,-89.82528,Pearl River along left bank 1.75 mi. below Richardson Landing.,1979,4,20,P. Sorensen & S.O. Rohmann,KL,07/15/2023,50,36,,NA,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,na,0,0,0,0,na,na,na,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,2,0,0,0,0,0
112555,112555_02,20,Carpiodes velifer,30.74472,-89.82528,Pearl River along left bank 1.75 mi. below Richardson Landing.,1979,4,20,P. Sorensen & S.O. Rohmann,KL,07/15/2023,60,44,,NA,,,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,na,0,0,0,0,na,na,na,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,,0,0,0,1,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,1,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,2,0,0,0,0,1
33237,33237_01,,Carpiodes velifer,,,,1964,6,11,,KL,08/29/2023,76,55,,na,,,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,0,0,0,0,0,0,na,0,0,0,0,na,na,na,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,1,2,0,0,0,0,0,0,0,NA,0,0,0,6,0,0,0,0,0
159136,159136_01,22,Carpiodes velifer,,,,1990,10,19,Suttkus and Caruso,KL,08/30/2023,60,45,,na,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,na,0,0,0,0,na,na,na,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,0
159136,159136_02,22,Carpiodes velifer,,,,1990,10,19,Suttkus and Caruso,CW,08/30/2023,58,44,,NA,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,na,0,0,0,0,na,na,na,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,0
169777,169777_03,19,Carpiodes velifer,,,,1994,4,9,sUTTKUS AND sUTTKUS,sd dm,02/20/24,31,27,,NA,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,na,0,0,0,0,na,na,na,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,0
169777,169777_04,19,Carpiodes velifer,,,,1994,4,9,sUTTKUS AND sUTTKUS,sd dm,02/20/24,44,31,,na,,,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,na,0,0,0,0,na,na,na,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,2,0,0,0,0,0,0,0
169777,169777_01,19,Carpiodes velifer,,,,1994,4,9,sUTTKUS AND sUTTKUS,SD KL,02/20/2024,61,46,,NA,,,0,0,0,0,0,0,0,0,9,0,0,0,0,3,0,0,0,0,0,0,0,1,0,0,0,0,na,0,0,0,0,na,na,na,0,0,0,0,0,0,0,0,0,0,0,3,0,1,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,4,0,0,0,0,0,0,0
159136,159136_03,22,Carpiodes velifer,,,,1990,10,19,Suttkus and Caruso,kl,03/06/2024,55,41,,na,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,na,0,0,0,0,na,na,na,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,1,0,0,0,0,0,0,0
169777,1169777_02,19,Carpiodes velifer,,,,1994,4,9,sUTTKUS AND sUTTKUS,SD CJW,02/20/2024,48,30,,NA,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,na,0,0,0,0,na,na,na,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,0,1,0,0,0
