,InstitutionCode,CollectionCode,CatalogNumber,IndividualCount,ScientificName,Family,PreparationType,Tissues,Latitude,Longitude,CoordinateUncertaintyInMeters,HorizontalDatum,Country,StateProvince,County,Island,IslandGroup,Locality,VerbatimElevation,VerbatimDepth,YearCollected,MonthCollected,DayCollected,Collector,GeorefMethod,LatLongComments,BasisOfRecord,Remarks,DateLastModified,CI,decade,IndividualFishID,Dissector,DissectionDate,Sex,TotalLength_mm,StandardLength_mm,weight_mg,ARTHROPODS_GUTCONTENTS,NotesOnSpecimenPriorToDissection,Skin,BuccalCavity,BodyCavity,CYST.SMALL.PectoralFin,PelvicFin,MONO.G.AnalFin,CYST.FIN.CaudalFin,CYST.SMALL.CaudalFin,CYST.UNKN.CAUDALFIN,CYST.BIG.CAUDALFIN,DorsalFin,Gonad,ACANTH.NEMOR.Liver,META.BOLISM.LIVER,Spleen,CYST.UNK.SPLEEN,TREM.POST.Kidney,TREM.POS.Eye,TREM.POST.Eye,TREM.IS.Eye,TREM.SHY.EYE,TREM.SCORP.EYE,Heart,MYX.STWY.GallBladder,CYST.UNK.GALLBLADDER,Stomach,NEM.OODLE.INTESTINE,NEM.W.INTESTINE,NEM.ESIS.INTESTINE,NEM.UNK.INTESTINE,NEM.LARV.INTESTINE,TREM.GA.Intestine,CEST.WOAD.Intestine,CEST.MIPI.INTESTINE,CEST.TIRGA.INTESTINE,CEST.PROT.Intestine,CEST.UNK.INTESTINE,CEST.Y.INTESTINE,NEM.LARV.CONNECTIVETISSUE,ACANTH.BLVE.CONNECTIVETISSUE,ACANTH.NEMOR.CONNECTIVETISSUE,MYX.STWY.CONNECTIVETISSUE,META.BOLISM.CONNECTIVETISSUE,TREM.IS.CONNECTIVETISSUE,TREM.POS.ConnectiveTissue,TREM.POST.ConnectiveTissue,TREM.UNK.CONNECTIVETISSUE,CYST.UNK.ConnectiveTissue,META.Z.Gill,MONO.SASE.Gill,MYX.THIN.GILL,MYX.UPC.GILL,CYST.UNK.GILL,NEM.OODLE.FLUSH,NEM.PRETZ.FLUSH,ACANTH.NEMOR.FLUSH,TREM.POS.FLUSH,TREM.POST.FLUSH,TREM.IS.FLUSH,META.BOLISM.FLUSH,CEST.MIPI.Flush,CEST.PROT.Flush,CEST.UNK.FLUSH,ACANTH.NEMOR.VOUCH,ACANTH.BLVE.VOUCH,CEST.PROT.VOUCH,CEST.WOAD.VOUCH,CEST.MIPI.VOUCH,CEST.TRIGA.VOUCH,CEST.UNK.VOUCH,CEST.Y.VOUCH,META.BOLISM.VOUCH,META.Z.VOUCH,NEM.PRETZ.VOUCH,NEM.OODLE.VOUCH,NEM.ESIS.VOUCH,NEM.W.VOUCH,NEM.LARV.VOUCH,TREM.GA.VOUCH,TREM.SCORP.VOUCH,TREM.SHY.VOUCH,TREM.IS.VOUCH,TREM.POS.VOUCH,TREM.POST.VOUCH,TREM.UNK.VOUCH,MONO.SASE.VOUCH,MONO.G.VOUCH,MYX.STWY.VOUCH,MYX.THIN.VOUCH,MYX.UPC.VOUCH,CYST.FIN.VOUCH,CYST.UNKN.VOUCH,MONO.SASE.SLIDE
694,TU,Fish,157858,11,Gambusia affinis,Poeciliidae,NA,NA,30.76528,-89.83222,NA,NA,United States of America,Mississippi,Pearl River,NA,NA,Pearl River along left bank opposite Bogalusa Creek.,NA,NA,1990,4,27,R.D. Suttkus & J.H. Caruso,NA,NA,PreservedSpecimen,,NA,control,1984-1993,157858_01,KL,07/13/2023,NA,40,31,,0,,0,0,0,0,na,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,0,0,0,0,0,0,0,0,,0,0,2,0,0,,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,NA,NA,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,2,0,0,NA,0,NA,0,0,0,0,0,0,0,0,0
167,TU,Fish,121243,20,Gambusia affinis,Poeciliidae,NA,NA,30.7825,-89.82027,NA,NA,United States of America,Louisiana,Washington,NA,NA,"Pearl River along left bank, 1.0 mi. below Hwy. 10 bridge.",NA,NA,1981,4,30,R.D. Suttkus & P.Y. Sorensen,NA,NA,PreservedSpecimen,,NA,control,1974-1983,121243_01,KL,07/13/2023,F,44,36,,0,,0,0,0,0,na,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,0,0,0,0,0,0,0,1,,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,NA,NA,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,1,0,0,0,0,NA,0,NA,0,0,0,0,0,0,0,0,0
,TU,,176914,8,Gambusia affinis,,,,,,,,,,,,,Pearl River opposite Bogolusa Creek,,,1995,10,7,suttkus and dennemann,,,,,,,1994-2003,176914_01,gmc kl,04/01/2024,f,34,27,,Y,gonads full of fry,0,0,0,0,na,0,0,0,0,0,0,0,0,0,na,0,0,0,NA,NA,0,0,0,0,0,0,0,0,,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,2,0,0,0,0,0,0,0,NA,NA,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,NA,0,0,0,0,0,0,0,0,2
,TU,,176914,8,Gambusia affinis,,,,,,,,,,,,,Pearl River opposite Bogolusa Creek,,,1995,10,7,suttkus and dennemann,,,,,,,1994-2003,176914_02,GMC KL,04/01/2024,F,25,20,,NA,,0,0,0,171,0,0,0,108,0,0,0,0,0,0,0,0,0,0,NA,NA,0,0,0,0,0,0,0,0,,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,NA,NA,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,NA,0,0,0,0,0,0,0,0,0
,TU,,176914,8,Gambusia affinis,,,,,,,,,,,,,Pearl River opposite Bogolusa Creek,,,1995,10,7,suttkus and dennemann,,,,,,,1994-2003,176914_03,GMC,05/06/2024,F,21,19,,NA,,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,NA,NA,0,0,0,0,0,0,0,0,,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,NA,NA,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,NA,0,0,0,0,0,0,0,0,0
,TU,,176914,8,Gambusia affinis,,,,,,,,,,,,,Pearl River opposite Bogolusa Creek,,,1995,10,7,suttkus and dennemann,,,,,,,1994-2003,176914_04,gmc,05/06/24,na,24,18,,na,,0,0,0,91,0,0,0,151,0,0,0,0,0,0,0,0,0,0,NA,NA,0,0,0,0,0,0,0,0,,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,NA,NA,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,NA,0,0,0,0,0,0,0,0,0
,TU,,175630,13,Gambusia affinis,,,,,,,,,,,,,pearl river along left bank,,,1995,7,29,RD and IS Suttkus,,,,,,,1994-2003,175630_02,sd acl gmc,05/07/2024,na,20,12,,y,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,0,0,0,0,0,0,0,0,,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,NA,NA,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,NA,0,0,0,0,0,0,0,0,0
,TU,,175630,13,Gambusia affinis,,,,,,,,,,,,,pearl river along left bank,,,1995,7,29,RD and IS Suttkus,,,,,,,1994-2003,175630_01,gmc kl,05/07/2024,f,22,12,,na,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,0,0,0,0,0,0,0,0,,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,NA,NA,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,NA,0,0,0,0,0,0,0,0,0
,TU,,175630,13,Gambusia affinis,,,,,,,,,,,,,pearl river along left bank,,,1995,7,29,RD and IS Suttkus,,,,,,,1994-2003,175630_04,sd acl gmc,05/07/2024,na,28,23,,na,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,0,0,0,0,0,0,0,0,,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,NA,NA,0,0,1,0,0,0,1,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,NA,0,0,0,0,0,0,0,0,0
,TU,,175630,13,Gambusia affinis,,,,,,,,,,,,,pearl river along left bank,,,1995,7,29,RD and IS Suttkus,,,,,,,1994-2003,175630_03,SD ACL GMC,05/07/2024,F,21,12,,NA,,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,NA,NA,0,0,0,0,0,0,0,0,,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,NA,NA,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,NA,0,0,0,0,0,0,0,2,0
