"","CatalogNumber","YearCollected.x","MonthCollected.x","DayCollected.x","IndividualFishID.x","FishBarcode.x","Dissector.x","Examiner.x","DissectionDate.x","Sex.x","TotalLength_mm.x","StandardLength_mm.x","Weight_mg.x","CI.x","combo.x","Latitude.x","Longitude.x","trem.meta","crus.lercyp","trem.diphur","trem.n","mono.gyrsp","mono.unk","trem.white","trem.p","trem.neasp","trem.unk.x","trem.acet","trem.unclear","cest.larv","nem.cont","trem.cent","nem.cap","cest.b","trem.buc","nem.unk.x","nem.larv.x","myxo.myxsp","myxo.m","mono.dacsp","YearCollected.y","MonthCollected.y","DayCollected.y","IndividualFishID.y","FishBarcode.y","Dissector.y","Examiner.y","DissectionDate.y","Sex.y","TotalLength_mm.y","StandardLength_mm.y","Weight_mg.y","CI.y","combo.y","Latitude.y","Longitude.y","crus.d","crus.lersp","mono.gyrof","mono.salsp","mono.ss","trem.dips","trem.iz","trem.unk.y","nem.larv.y","nem.l","nem.myst","acanth.spk","cest.botsp","myxo.myxid","myxo.g","YearCollected","MonthCollected","DayCollected","IndividualFishID","FishBarcode","Dissector","Examiner","DissectionDate","Sex","TotalLength_mm","StandardLength_mm","Weight_mg","CI","combo","Latitude","Longitude","cope.imler","cope.lern","mono.dact","mono.gyro","myxo.b","nem.cl","nem.unk.y","trem.b","trem.d","trem.diplo","trem.dlum","trem.em","trem.fim","trem.gold","trem.l","trem.meta.unk","trem.ridge"
"1","MSB:Fish:1069",1963,2,22,"MSB 1069-1","JAR11714F","JG","GC","07-29-2025",NA,48,38,1020,"impact","impact_1961-1970",35.051774,-106.671997,0,0,1,0,0,0,0,NA,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","MSB:Fish:1069",1963,2,22,"MSB 1069-5","JAR11716F","EO","JG","07-29-2025",NA,39,31,448,"impact","impact_1961-1970",35.051774,-106.671997,0,0,0,0,0,0,0,NA,0,0,0,0,0,NA,0,0,0,0,0,NA,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","MSB:Fish:1069",1963,2,22,"MSB 1069-4","JAR11717F","EO","BP","07-29-2025",NA,37,29,428,"impact","impact_1961-1970",35.051774,-106.671997,0,0,0,0,0,0,0,NA,0,0,0,0,0,NA,0,0,0,0,0,0,0,2,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","MSB:Fish:1069",1963,2,22,"MSB 1069-2","JAR11713F","EO","GC","07-29-2025",NA,42,34,611,"impact","impact_1961-1970",35.051774,-106.671997,0,0,0,0,0,0,0,NA,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","MSB:Fish:1069",1963,2,22,"MSB 1069-3","JAR11715F","JG","JG","07-29-2025",NA,37,30,456,"impact","impact_1961-1970",35.051774,-106.671997,0,0,2,0,0,0,0,NA,0,0,0,0,0,NA,0,0,0,0,0,NA,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","MSB:Fish:11909",1992,9,16,"MSB 11909-3","JAR10974F","KL","KL","08-11-2025",NA,35,29,380,"impact","impact_1991-2000",35.074,-106.6697778,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","MSB:Fish:11909",1992,9,16,"MSB 11909-2","JAR10963F","KL","KL","08-11-2025",NA,34,27,317,"impact","impact_1991-2000",35.074,-106.6697778,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","MSB:Fish:11909",1992,9,16,"MSB 11909-1","JAR10971F","KL","KL","08-11-2025",NA,45,37,806,"impact","impact_1991-2000",35.074,-106.6697778,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","MSB:Fish:11909",1992,9,16,"MSB 11909-5","JAR10968F","KL","KL","08-11-2025",NA,35,30,392,"impact","impact_1991-2000",35.074,-106.6697778,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","MSB:Fish:11909",1992,9,16,"MSB 11909-4","JAR10989F","KL","KL","08-11-2025","F",36,29,420,"impact","impact_1991-2000",35.074,-106.6697778,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
